,A,RpoH,Lrp
R2,,0.10586798638642325,0.04979579507665455
xmin,,-2.9133666436,-10.1521245118
xmid,,0.15151495948340016,-2.5424801146063203
xmax,,4.1537368575,2.3501929199
ystart,,1.164596868462312,3.437089825404729
yend,,8.926863573293682,-0.4364189292304137
aat__00m_00s__1,0.571367242,0.3158990847,0.1917489778
aat__00m_30s__1,0.6151071885,0.2409029769,-0.0036410337
aat__01m_00s__1,0.30218248870000003,0.2002328318,0.0638516938
aat__02m_00s__1,0.5568669704,0.18854769130000001,0.1884466547
aat__05m_00s__1,0.7433539944,0.43648593950000003,0.2606995247
aat__10m_00s__1,1.2883568367,-0.20375324690000002,-0.18787669680000002
aat__00m_00s__2,-0.7778333829,-0.2373944422,-0.0850462209
aat__00m_30s__2,-0.17849997920000002,0.0515220279,0.23201001070000002
aat__01m_00s__2,-0.015382066500000001,0.009921239,0.4624908091
aat__02m_00s__2,0.3874886028,0.012858076900000001,0.5094912821
aat__05m_00s__2,0.3401288397,0.3126937497,0.42741818940000004
aat__10m_00s__2,0.042220796000000005,0.08921797100000001,-0.011315053200000001
aat__00m_00s__3,0.2064661409,-0.0785046425,-0.1067027569
aat__00m_30s__3,0.8859085138,0.0397088413,-0.034949130700000004
aat__01m_00s__3,0.3363574271,-0.0542938684,-0.0507207701
aat__02m_00s__3,0.9426340015,0.0389594141,0.0607301561
aat__05m_00s__3,1.3112918314,0.6132251999,0.6821826714
aat__10m_00s__3,1.0443395098,0.3190932916,0.1046706146
abx_mega__dmso-2__1,-2.532685498,-1.8356514133,-0.07686038270000001
abx_mega__ery_dmso__1,4.4719856582,0.3571557738,-0.4184515133
abx_mega__nal_naoh__1,0.505569428,-1.5155147868999999,-0.0463286922
abx_mega__dmso-5__1,0.8746984124,-0.062338824,0.291528555
abx_mega__rif_dmso__1,1.3275639167,-0.9687080964,0.5837445491000001
abx_mega__novo_h2o__1,4.8076529561,0.141840136,-0.5783668051
abx_mega__rach_dmso__1,-0.6610332003,-0.4366690435,-0.3544948952
abx_mega__metro_dmso__1,4.1779459753,0.0678955502,-0.0169901278
abx_mega__dmso-6__1,-0.1424933111,-0.8022118136,-0.19775123900000002
abx_mega__chl_h2o__1,-0.2207491288,0.0578202198,-1.3513809867
abx_mega__cst_h2o__1,0.3697553504,-0.057762475300000005,-0.0936446555
abx_mega__tec_h2o__1,1.139034046,-0.8281045003,-0.29484850100000004
abx_mega__str_h2o__1,2.2399212002,-1.1474360118,0.0541041576
abx_mega__ctx_h2o__1,-0.0151889773,0.19746903600000001,-0.0762063272
abx_mega__nal_naoh__2,0.9719451983,0.0143688064,-0.5672398331
abx_mega__phos_h2o__1,2.1953916593000002,-0.2551792164,0.053708981100000004
abx_mega__dmso-5__2,1.422538725,-0.2644815505,0.1920871912
abx_mega__polmyx_h2o__1,-1.1314425372999999,0.1361183923,0.0033290340000000002
abx_mega__h2o-8b__1,1.5134474386,-0.3873424736,-0.2368879814
abx_mega__h2o-6__1,-0.422487166,-0.261972339,-0.2100487493
abx_mega__thio_dmso__1,1.2149195956,-0.91358075,-1.9313953898
abx_mega__phos_h2o__2,-0.3218863159,-0.0391343383,-0.2188764248
abx_mega__ctx_h2o__2,0.1100952718,-0.20660996550000002,-1.5745697947
abx_mega__lzd_dmso__1,0.7772221413,-0.4193002769,-0.7282929664000001
abx_mega__naoh-9__1,-0.7085754289,0.41619693090000004,0.2102835278
abx_mega__dox_dmso__1,0.8650011648,-0.0165987565,-0.34232132660000003
abx_mega__phos_ethanol__1,0.09368846880000001,0.5000765312000001,-0.0360912475
abx_mega__teix_dmso__1,0.4347526995,-0.7262293705,-0.46139139360000003
abx_mega__dmso-10__1,-1.0128038569,0.4167895327,-0.0707081911
abx_mega__van_dmso__1,8.2763906599,2.2999885315,-0.9188570988
abx_mega__ramo_h2o__1,2.136359526,-0.2468824043,-0.022524302700000002
abx_mega__tec_h2o__2,0.6794247834,0.3171122249,-0.20139311000000001
abx_mega__h2o-7__1,1.0143850127,-0.7260852988000001,-0.7064351524
abx_mega__cro_h2o__1,0.49095781800000005,-0.40756522440000004,-1.1960682364
abx_mega__tric_ethanol__1,-0.7856142752,-0.3986841967,0.7780823415
abx_mega__nor_naoh__1,1.3077348962,0.0609582061,-0.4910773156
abx_mega__teix_dmso__2,0.8876559603,-0.5951615989,-0.1605013107
abx_mega__nal_naoh__3,1.1547229479,0.029012897000000003,-0.4457081766
abx_mega__novo_h2o__2,4.5513383391,0.1938561823,-0.5657690496000001
abx_mega__dmso-10__2,-1.1733511139,0.3538673027,-0.0129645851
abx_mega__phos_h2o__3,-0.1127436353,-0.7718231807,-0.2699756884
abx_mega__dmso-6__2,-0.1007785379,-0.9064641439000001,0.139214748
abx_mega__rfp_ethanol__1,3.5800840614,0.1301564855,-1.0064182484
abx_mega__dmso-5__3,0.1746158649,0.1899324622,-0.0378195053
abx_mega__amyc-d_dmso__1,4.4351666731,0.2375834753,-0.7699850183
abx_mega__sxt_dmso__1,0.37999938850000003,-0.40835691,-0.5983222528000001
abx_mega__dmso-1__1,-1.9621972383,-0.462311574,-0.0788764182
abx_mega__pen_h2o__1,0.5392686725,-0.7020267388,0.1571077622
abx_mega__dmso-10__3,-1.2230896636,-0.0926881222,0.0026593751
abx_mega__nal_naoh__4,0.3551248671,0.28227643880000003,-0.1895165987
abx_mega__cip_naoh__1,0.7473762546,0.3739748104,-0.0914431154
abx_mega__pen_h2o__2,1.0021317208,-0.033527718000000005,0.0211183045
abx_mega__ery_dmso__2,5.4694768813,-0.3093211296,-0.1386738842
abx_mega__dmso-2__2,-0.5765519758000001,-1.4675839978,0.38087032870000004
abx_mega__van_dmso__2,9.1356645613,2.3288259978,-1.0385986195
abx_mega__h2o-1b__1,-1.5557734263,0.1847175178,-0.34293042830000003
abx_mega__ery_h2o__1,1.8568981515,0.4649255383,-1.3940862034000001
abx_mega__bacit_h2o__1,3.1633224188,0.7020411350000001,-0.1138610196
abx_mega__chl_h2o__2,0.5905301297000001,-0.26464329470000003,-1.2410966374
abx_mega__str_h2o__2,4.178527106,-0.9772224573,0.2088463545
abx_mega__rfp_ethanol__2,1.6977163728,0.0145333586,0.0064241946000000005
abx_mega__polmyx_h2o__2,-0.4458629616,-0.14310325570000001,-0.37709018990000004
abx_mega__tric_h2o__1,2.5738531398999998,0.23107046420000002,0.6017321859
abx_mega__cip_naoh__2,1.0820458121,-0.0410008835,-0.6170299069
abx_mega__novo_h2o__3,3.7202555956000003,0.5252350475,-0.6903743882000001
abx_mega__bacit_dmso__1,1.5062387206999999,-0.107973757,-0.0542605311
abx_mega__gen_h2o__1,15.5451254349,0.3346456534,0.5402471191
abx_mega__bacit_dmso__2,2.9784152691,-0.09743531230000001,0.3040365601
abx_mega__chl_dmso__1,11.3452374283,0.1936994316,0.5055827363000001
abx_mega__bacit_h2o__2,3.0932169436,-0.0475764913,-0.0160126656
abx_mega__lvx_dmso__1,0.799991572,-0.2398331518,-0.1464043041
abx_mega__bacit_h2o__3,3.5173636633000003,0.5124724820000001,0.030627857100000003
abx_mega__nor_naoh__2,1.2791465059,-0.27152625810000003,-0.3171028179
abx_mega__amyc-d_dmso__2,2.9639662721,0.0075540726,0.0735011207
abx_mega__polmyx_h2o__3,2.1096766608,-0.21775219110000002,0.2066967292
abx_mega__naoh-6__1,0.0420256955,-0.2490125017,-0.3304220725
abx_mega__cst_h2o__2,1.4217733379,0.6299179779,-0.0316981053
abx_mega__h2o-1b__2,-0.9123752331,0.7002711382,-0.6171215938
abx_mega__rfp_h2o__1,2.6568888076,-0.8150696466,0.6950883019
abx_mega__tet_h2o__1,2.8635641224,-1.1396383345,-0.3530000016
abx_mega__flavo_dmso__1,-0.8908300117,0.3081553167,0.1148364345
abx_mega__zeocin_h2o__1,-0.6529179382,-0.3010621757,-0.2500778275
abx_mega__nor_naoh__3,1.4838369715,0.17836618810000002,-0.4613391028
abx_mega__rach_dmso__2,1.0290046116,-0.7752192186,-1.0513303845
abx_mega__thio_dmso__2,0.9569271707,0.6790849333,-0.7931882752
abx_mega__amyc-d_dmso__3,4.3505794521,0.3844396068,-0.1425223824
abx_mega__rif_dmso__2,1.3111295366,-0.6334376965,0.006394704
abx_mega__amyc-d_dmso__4,2.4646981908,-0.0033294049,-0.3398703041
abx_mega__teix_dmso__3,0.1127169855,-0.24041198460000002,-0.47042315490000003
abx_mega__valin_dmso__1,2.0340269922,-0.0073119971,-0.09956550460000001
abx_mega__teix_dmso__4,-0.3067736313,-0.3119954113,-0.2956049244
abx_mega__ethanol-10__1,0.7595492988,-0.1447872485,-0.1173161499
abx_mega__inh_h2o__1,-1.5089385869,-0.4009168214,-0.6826879939
abx_mega__rif_dmso__3,-0.2123290179,-1.076051937,0.8572120805000001
abx_mega__van_dmso__3,7.5955943276,1.2038990858,-0.1312239978
abx_mega__doxo_dmso__1,-0.4350718891,0.1295048554,-0.054202918
abx_mega__tmp_dmso__1,1.488390754,0.0163467397,-0.7687571366
abx_mega__ethanol-10__2,-1.7242890094,-0.7404136138,-0.2830325331
abx_mega__tmp_dmso__2,2.0802289647,0.3259181239,-0.7246961160000001
abx_mega__amyc-d_dmso__5,6.1275613238,0.4443284067,-0.3809499105
abx_mega__novo_h2o__4,2.580105484,-0.0634549752,-0.540200283
abx_mega__cro_h2o__2,0.8718191426,-0.6535238917,-1.1092440873
abx_mega__cro_h2o__3,0.1398959363,-0.5477702347,-0.7686285168
abx_mega__gen_h2o__2,15.3181574544,0.5725411615,0.7548364243
abx_mega__phos_h2o__4,0.65225258,-0.9100640155,0.3043680612
abx_mega__metro_dmso__2,2.6736404561000002,0.0516856554,-0.0052407457000000005
abx_mega__ery_h2o__2,2.6291535007,0.41956973610000003,-0.7428466618
abx_mega__sacet_h2o__1,1.0365471773,-0.5642554128,1.0942464863
abx_mega__nal_naoh__5,1.1362895893,0.4987647624,-0.6480018334000001
abx_mega__bacit_h2o__4,4.4199497938,0.2928702817,0.16226913340000002
abx_mega__cip_naoh__3,2.1386752831,0.24232486550000001,-0.0022205892
abx_mega__ethanol-8__1,1.1465049226,-0.386645736,-0.12551559210000002
abx_mega__h2o-8a__1,-0.1862630775,0.016221023,0.3114165841
abx_mega__ery_h2o__3,2.3954047101000002,0.3276447138,-1.3817991191
abx_mega__flavo_dmso__2,1.14731265,-0.5609114636,-1.1118241244
abx_mega__rif_dmso__4,0.3777374368,-0.9318027331000001,0.640189754
abx_mega__novo_h2o__5,2.0893824505,-0.40193461020000004,-0.7973720779
abx_mega__teix_dmso__5,-1.1670337702,0.013568494300000001,-0.131505318
abx_mega__naoh-2__1,0.2381831003,-0.9992458054000001,-0.029839515100000002
abx_mega__novo_h2o__6,1.3552436894,0.8168041396,-0.5520812733
abx_mega__ctx_h2o__3,0.2458390803,-0.4831123894,-1.1904583361
abx_mega__rach_dmso__3,0.1509198279,-0.5662988597,-1.2247114862
abx_mega__valin_dmso__2,2.0866099721,0.016381571600000002,-0.6554227122
abx_mega__amyc-d_dmso__6,7.9992909907000005,0.5303951839000001,0.112860213
abx_mega__dox_dmso__2,1.9580761945,-0.7028446344,-0.2555514143
abx_mega__teix_dmso__6,-2.0395725594,-0.15587261630000002,-0.36691297110000004
abx_mega__naoh-6__2,0.42610330150000003,-0.2380673439,-0.420226284
abx_mega__inh_h2o__2,3.3060114603,0.5962093252,0.7527320062
abx_mega__chl_h2o__3,-1.527330961,-0.939243271,-0.9402117607
abx_mega__nal_naoh__6,1.2747740794,0.1808673993,-0.5371144676
abx_mega__chl_dmso__2,11.8389635644,0.1021343425,0.4701902592
abx_mega__rach_dmso__4,0.1598681207,-0.1719837743,-0.6315143039000001
abx_mega__teix_dmso__7,-2.140785048,0.2352579081,-0.2751275436
abx_mega__ceru_ethanol__1,0.8642800146,0.0244928469,0.6643574967
abx_mega__dmso-7__1,0.7990877507,-0.4996400447,-0.11426782910000001
abx_mega__naoh-6__3,0.2555015162,-0.2368501923,-0.2327240486
abx_mega__phos_ethanol__2,-1.0855389974,0.151526555,-0.0136205634
abx_mega__metro_dmso__3,1.6603024145,0.1253234789,-0.0143279424
abx_mega__van_dmso__4,7.6656756715,0.9560244045,-0.4265849803
abx_mega__h2o-10__1,-1.1886373515,-0.3895271357,-0.12238592690000001
abx_mega__h2o-10__2,0.2061293877,-0.2041383277,-0.4323012848
abx_mega__dmso-6__3,1.6249603605,-0.9200546336000001,-0.1953700162
abx_mega__mem_dmso__1,0.6563341657,-0.5119804374,-0.9469480016
abx_mega__ethanol-8__2,0.1055821973,-0.5228986821,0.002914251
abx_mega__chl_h2o__4,-3.3590908600000002,-1.0609994327,-1.1470755588000001
abx_mega__van_h2o__1,2.327945102,-0.5529756731000001,0.1187652569
abx_mega__dcs_h2o__1,-0.37702400280000004,0.3497363482,-0.2439474482
abx_mega__rif_dmso__5,0.5663915962,-0.8437150792,0.29047002990000004
abx_mega__dox_dmso__3,1.8651367819,-0.33071347570000004,0.1364750897
abx_mega__mem_dmso__2,-1.7590177082,-0.6347769227,-0.3048284202
abx_mega__lvx_dmso__2,0.08530348360000001,-0.1794951594,0.019654539800000002
abx_mega__tet_h2o__2,-0.3676596151,-0.3669536698,0.1780957111
abx_mega__phos_h2o__5,0.12357846500000001,-0.6850036561,0.3145588501
abx_mega__monac_dmso__1,5.2170707304,1.2069047966,-0.9276745121000001
abx_mega__str_h2o__3,0.07455129270000001,-0.592747848,-0.39861814560000003
abx_mega__zeocin_h2o__2,1.7587106159,-1.0571952486,0.056742547500000004
abx_mega__amyc-d_dmso__7,8.1823509269,0.1646731934,0.6384176439
abx_mega__fidax_dmso__1,-0.6484752676000001,0.3937033924,-0.37358413220000003
abx_mega__h2o-1a__1,-0.1715183868,-0.08440660330000001,0.0350729692
abx_mega__dox_dmso__4,0.6079050666,-0.6402277771,-0.051431211000000004
abx_mega__lzd_dmso__2,-2.039313854,-0.4618395549,-1.2166543236
abx_mega__tet_h2o__3,3.0193422602,-1.0883807846,-0.3215499277
abx_mega__dmso-1__2,-1.6084126794,-0.1482660424,0.3299482991
abx_mega__sxt_dmso__2,1.7233309758000002,-0.1337948082,-0.28807557030000003
abx_mega__tric_ethanol__2,0.3157717111,-0.8576034063,0.2692794305
abx_mega__teix_dmso__8,0.5033146125,0.602160804,-0.7486968028000001
abx_mega__ramo_h2o__2,2.1609704508,0.37692444880000003,-0.0210983501
abx_mega__inh_h2o__3,-1.6367998797999999,0.08163204360000001,-0.5458369436
abx_mega__cst_h2o__3,0.1289873525,1.3357060728,-0.3835409524
abx_mega__dmso-9__1,0.25284763050000003,0.080656014,0.3506674218
abx_mega__ethanol-8__3,-0.6518137176000001,-0.8577395643,-0.6297088756
abx_mega__monac_dmso__2,7.1093782459,1.7773774537,-1.3265809069
abx_mega__dmso-9__2,-0.7304867077,0.16290523810000002,0.1108876813
abx_mega__metro_dmso__4,3.8396271298,-0.1782822957,0.1697071355
abx_mega__ctx_h2o__4,0.18353745800000001,-0.36480434230000003,-1.246551192
abx_mega__zeocin_h2o__3,3.0173063027,-1.3759727729,-0.34987695900000004
abx_mega__bacit_h2o__5,3.6469838167,-0.070984738,0.0145102877
abx_mega__reta_dmso__1,0.27719961790000003,-1.0822134863,-0.6059322526
abx_mega__ery_h2o__4,0.8615710279000001,0.9391606563,-0.3885027585
abx_mega__ceru_ethanol__2,1.5342316219,-0.5597663869,1.1233531932
abx_mega__fidax_dmso__2,-1.7217209414,0.0862158137,-0.2802503778
abx_mega__novo_dmso__1,2.4813563639,-0.3848103433,-0.023295202600000002
abx_mega__naoh-6__4,0.29550069090000003,-0.24656222800000002,-0.3604413776
abx_mega__amyc-d_dmso__8,2.7128238302,0.09701032500000001,0.0018304158
abx_mega__chl_dmso__3,10.1003171603,0.0708556568,0.4203566293
abx_mega__nal_naoh__7,2.196480094,-0.0137091745,0.2068159725
abx_mega__teix_dmso__9,-2.0059240308,0.060500280600000005,-0.2592672699
abx_mega__ery_dmso__3,3.3373262661,-0.5034122546,0.0646919346
abx_mega__tmp_dmso__3,0.198901828,0.0655212241,-0.5511534317
abx_mega__sxt_dmso__3,-0.12916073890000002,-0.21501141640000002,-1.3425010601
abx_mega__polmyx_h2o__4,2.6437608265,0.3755060878,-0.1645402147
abx_mega__mem_dmso__3,0.3603638575,0.0456264242,0.23373750910000002
abx_mega__nal_naoh__8,1.9400954214000001,-0.9736794218,-0.2569550157
abx_mega__pen_h2o__3,1.8204894895,0.14740268580000002,-0.3884985985
abx_mega__van_dmso__5,7.0960382816,0.9953998429,-0.39132502220000004
abx_mega__zeocin_h2o__4,2.0267789602,-0.8053867138,-0.1433358172
abx_mega__h2o-6__2,-0.3466013384,-0.2847227683,-0.3492613463
abx_mega__tet_h2o__4,4.0278603575,-0.7044400821,-0.4805136981
abx_mega__nor_naoh__4,0.3589976924,0.280142536,-0.0382213312
abx_mega__cip_naoh__4,1.2098898336000001,0.128236355,-0.19062629790000002
abx_mega__tmp_dmso__4,1.339059363,0.4387814721,-0.9923129726000001
abx_mega__reta_dmso__2,1.5615988564999999,-1.7208329604000001,-1.1978806765
abx_mega__mem_dmso__4,-1.5023261628,-0.30084330070000004,-1.2296074036
abx_mega__dox_dmso__5,1.0516685859,0.0243695256,-0.2609255541
abx_mega__tmp_dmso__5,-0.5396642737,0.0367175477,0.1382815033
abx_mega__flavo_dmso__3,1.5966518648,-0.45428895350000004,-1.1288095984
abx_mega__tmp_dmso__6,0.367051314,0.1913391426,-0.0968763669
abx_mega__ceru_ethanol__3,0.1954199121,-0.33295631410000004,1.3514066959
abx_mega__teix_dmso__10,-0.5286485719,0.5360761904,-0.3001855255
abx_mega__novo_h2o__7,4.2847685804,0.5422595486,-0.5243987399
abx_mega__fidax_dmso__3,-1.4347666487000001,0.0750907579,-0.1150153483
abx_mega__h2o-1a__2,0.4965410638,-0.22575703130000002,-0.07257280540000001
abx_mega__dcs_h2o__2,0.3640929961,-0.0953740978,0.1884515094
abx_mega__cst_h2o__4,1.9250081641999999,1.2736372455,0.0453331235
abx_mega__van_h2o__2,0.8183846108,0.051538418,-0.09842411420000001
abx_mega__pen_h2o__4,3.1989803141,0.3859548591,0.24722371440000002
abx_mega__h2o-8b__2,-0.4615216808,0.1431351855,-0.6113486443
abx_mega__reta_dmso__3,1.8391054264000002,-1.643314503,-1.8427485194000002
abx_mega__dmso-7__2,-0.2532132154,-0.588246163,-0.5283278353
abx_mega__rfp_h2o__2,2.7048288828000002,-1.1296912872,0.7334317926
abx_mega__rif_dmso__6,2.2492257856,-0.6692492781,0.7004463726
abx_mega__sxt_dmso__4,0.9671553719,-0.25741529220000003,-1.0151817803
abx_mega__cip_naoh__5,0.0958445815,-0.6396991449,-0.45126933610000003
abx_mega__dmso-9__3,0.9951085927000001,-0.23991494530000002,-0.07345373570000001
abx_mega__mem_dmso__5,1.4567674545,-0.3017282933,-0.9380478321000001
abx_mega__tric_h2o__2,-0.0189540593,0.0734328135,0.5439119556
abx_mega__phos_h2o__6,-0.4470623535,-0.4516690062,-0.449144341
abx_mega__h2o-7__2,1.4602861059,-0.38611281480000004,-0.6661382221000001
abx_mega__h2o-10__3,-0.6983747789,-0.2743340367,-0.32197152570000004
abx_mega__h2o-8a__2,0.4069338729,-0.2126327993,0.022786968
abx_mega__thio_dmso__3,1.6518632209000002,-0.7731532217,-1.7524899039
abx_mega__lzd_dmso__3,1.9260729294,-0.51096827,-0.7808843017
abx_mega__monac_dmso__3,7.8183037613,0.8919430308,-0.6831227980000001
abx_mega__polmyx_h2o__5,-0.49837416040000004,0.2363196119,0.132364221
abx_mega__naoh-6__5,0.2065697156,-0.23786267800000002,0.0795132088
abx_mega__teix_dmso__11,0.0401647466,-0.3050406728,-0.2416617654
abx_mega__van_h2o__3,-0.12093781370000001,0.1345128,-0.3939807125
abx_mega__teix_dmso__12,-0.0859933284,-0.14785174580000002,-0.0166894146
abx_mega__dox_dmso__6,1.6374202693000002,-1.218194425,0.4410446831
abx_mega__teix_dmso__13,0.8730581643,-0.5732333701,-0.4857856264
abx_mega__h2o-7__3,1.5665034857,-0.6892441031000001,-0.2926716673
abx_mega__str_h2o__4,3.3105349069,-1.1151694336,-0.414689593
abx_mega__tec_h2o__3,1.3650097353000001,-0.9186240759000001,-0.1394933653
abx_mega__phos_h2o__7,0.1462371546,-0.4451029206,-0.2548379263
abx_mega__chl_h2o__5,0.21734671930000002,0.1520429053,-1.2663900647
abx_mega__polmyx_h2o__6,0.2397121421,0.041437556300000004,-0.051896065400000004
abx_mega__teix_dmso__14,-0.0574473495,-0.3182739587,-0.4053599198
abx_mega__rif_dmso__7,1.6188867156,-0.39820102970000004,0.2661172377
abx_mega__ramo_h2o__3,2.4139619235,0.1656189674,0.4737817862
abx_mega__fidax_dmso__4,-0.2575723236,0.0562947216,-0.0426756655
abx_mega__teix_dmso__15,-2.0171808156,0.5786360169,-0.0461619439
abx_mega__thio_dmso__4,1.5566920086,-0.913505615,-1.4318992467
abx_mega__rif_dmso__8,2.6117982767,-0.9438883982,0.48518683640000004
abx_mega__reta_dmso__4,1.5969399439,-1.4985052271,-1.5749720131
abx_mega__inh_h2o__4,3.1993686185,0.9290496774,0.8546066088000001
abx_mega__novo_dmso__2,0.8787471885,-0.5775437707000001,0.3512429461
abx_mega__dcs_h2o__3,0.3503696992,0.1865597664,-0.190275372
abx_mega__h2o-8b__3,2.2280759368,0.151857119,0.1728443197
abx_mega__valin_dmso__3,1.7653061192,-0.0447513789,-0.138096181
abx_mega__h2o-2__1,0.519816024,-1.006942498,0.4218486569
abx_mega__cro_h2o__4,0.3582309977,-0.8790603429,-0.3849114842
abx_mega__dcs_h2o__4,-0.9486405569,0.2337440087,-0.1791597613
abx_mega__str_h2o__5,1.2770694779,-0.357635215,-0.26056235240000003
abx_mega__h2o-8a__3,-0.4590199538,-0.4761831979,-0.1437478389
abx_mega__dox_dmso__7,0.7046564164,-0.8448347051,-0.2333518565
abx_mega__doxo_dmso__2,0.15935317670000002,-0.2845502727,0.0258742196
abx_mega__teix_dmso__16,1.2690495228,-0.5353800012000001,-0.7362721111
abx_mega__rfp_h2o__3,2.4665200663,-1.3301997096,0.6059943318000001
abx_mega__ethanol-10__3,-0.8331269821,-0.40416290200000005,-0.6086756616
abx_mega__naoh-2__2,-0.1004456725,-1.4956306675,0.3098668676
abx_mega__van_h2o__4,2.7162024792,-0.0895798636,0.2619208373
abx_mega__sacet_h2o__2,1.7235281371000002,-0.41758625990000003,0.7438208052
abx_mega__monac_dmso__4,6.3561267554,1.6389497615000002,-1.254178781
abx_mega__h2o-2__2,0.8802538272,-1.1902212224,0.7114052618000001
abx_mega__zeocin_h2o__5,-1.6173661188000001,-0.3250452551,-0.4195899943
abx_mega__nor_naoh__5,1.4589187483,0.291174936,0.0625840782
abx_mega__naoh-9__2,0.973313242,0.29941592110000004,0.31114129620000003
abx_mega__dmso-7__3,-0.2580776769,-0.6364138919,-0.606447562
abx_mega__van_h2o__5,2.5904881725999997,-0.5738608159,0.0006027872
abx_mega__flavo_dmso__4,0.6166735929,-0.40645628300000003,-0.8728391425
abx_mega__novo_dmso__3,1.8528645064,-0.40088765200000004,-0.2541510046
abx_mega__polmyx_h2o__7,-0.26907101640000003,0.14512070030000002,-0.1927526698
abx_mega__teix_dmso__17,-2.0788867654,0.10941949840000001,-0.3846550843
abx_mega__doxo_dmso__3,1.5163532226,0.0100218944,-0.3039811518
abx_mega__mem_dmso__6,-0.0957315878,0.077153814,0.33579434900000005
abx_mega__h2o-1a__3,-0.3250226771,0.3101636346,0.037499836200000004
abx_mega__bacit_dmso__3,2.3103788239,-0.09315899080000001,-0.0296489887
abx_mega__dox_dmso__8,1.6392568096,-1.4069151119,0.1480063252
abx_mega__teix_dmso__18,-0.08043427310000001,-0.5848098453,-0.1614010891
abx_mega__h2o-6__3,-0.22055807630000002,-0.5042304236,-0.1738932343
abx_mega__pen_h2o__5,0.5298493181,-0.5094442882,-0.0055406214
abx_mega__lzd_dmso__4,1.5404588058000002,-0.4230355631,-0.7598699923000001
